2,S,3
0.2,S,3
0.2,S,3
0.2,S,3
1,S,1
0.2,S,1
0.2,S,1
0.2,S,1
1,L,3
0,L,1
0.1,S,4
0,S,4
0,S,4
0,S,5
0,S,5
0,S,5
5,M,4
0,M,3
0,M,2
0,M,1
0,M,0
2,S,4
0.2,S,4
0.2,S,4
0.2,S,4
0.2,S,4
1,S,0
0.2,S,0
0.2,S,0
0.2,S,0
0.2,S,0
3,L,0
0,L,6
5,B,2
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
